CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0112,0.6128098996053042,C0091,0.5649693326706625,C0118,0.5572738841451589
C0002,C0134,1.0746639443550214,C0159,0.646691393680132,C0106,0.6370295167675428
C0003,C0031,1.147613863904476,C0129,0.926150268601588,C0195,0.7613108314671337
C0004,C0113,1.0533608092843845,C0104,0.641601517118507,C0102,0.5426477206903242
C0005,C0007,1.2147196156604163,C0140,0.5328705611102851,C0186,0.4056302522953248
C0006,C0187,0.7961314017460118,C0126,0.45849758530061735,C0169,0.45432608923814366
C0007,C0005,1.2147196156604163,C0140,0.6387712606413726,C0186,0.3693454494029287
C0008,C0098,0.5804189500229542,C0194,0.535652304938123,C0024,0.5088961731224296
C0009,C0198,0.482093382372908,C0010,0.44039347990895217,C0062,0.4250996028779232
C0010,C0061,0.7053901025734605,C0062,0.5051659851953462,C0009,0.44039347990895217
C0011,C0153,0.6964968356506731,C0174,0.6744543439183591,C0126,0.6356833909675349
C0012,C0039,0.5570267481948786,C0187,0.531343851418312,C0163,0.4526674420245305
C0013,C0087,0.5196794175649206,C0102,0.4844379002950652,C0048,0.47939310811034624
C0014,C0060,0.3112365932430258,C0151,0.3072873294068451,C0097,0.28530432101168957
C0015,C0036,0.49547800064355757,C0131,0.4478535047629181,C0160,0.409377605833203
C0016,C0183,17.7647733238855,C0067,0.8918142370072545,C0072,0.5922962662177534
C0017,C0075,0.8849216217136545,C0081,0.7677863124361399,C0057,0.6961368950668089
C0018,C0117,0.6044956398150255,C0035,0.4937691763018016,C0154,0.4595327377198244
C0019,C0121,0.5139852804909326,C0070,0.44146983811597257,C0064,0.39454230313265737
C0020,C0050,0.34428105052923325,C0035,0.2927254800568347,C0026,0.2871932021977414
